rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC12557704,USP7-mediated stabilization of CXCL3 aggravates inflammation in models of acute lung injury,success,yes,yes,"Furthermore, LPS augmented CXCL3 mRNA and protein expression in HLMVECs in a dose-dependent manner (L94).",L94: Figure 1: CXCL3 expression in patient plasma and LPS-stimulated endothelial cells.,Cxcl3;CXCL3,LPS,
2,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
3,PMC12562522,HCX3 Mitigates LPS-Induced Inflammatory Responses in Macrophages by Suppressing the Activation of the NF-κB Signaling Pathway,success,no,no,,,,,
4,PMC12715969,Periodontitis salivary microbiota exacerbates colitis by CXCL3 derived from gut microbiota-induced macrophages,success,no,yes,"We stimulated different cells with the fecal microbiota of PSM-gavaged mice and found that PSM-GM stimulated Cxcl3 overexpression in Raw264.7, THP-1-derived macrophages, and bone marrow-derived macrophages (BMDM) (Figs. 4E and S7A–B), and had no significant effect on Cxcl3 expression in Caco-2(Figure S7C and D), suggesting that Cxcl3 was mainly expressed in macrophages due to PSM-GM.","The fecal was collected from salivary microbiota-gavage mice before DSS treatment (n = 3, each test is independent; PBS-GM, the fecal was from PBS-gavage mice; HSM-GM, the fecal was collected from HSM-gavage mice; PSM-GM, the fecal was collected from PSM-gavage mice).",Cxcl3;CXCL3,,yes->no: evidence does not name LPS or infection
5,PMC6219809,Prevention of lipopolysaccharide-induced preterm labor by the lack of CX3CL1-CX3CR1 interaction in mice,success,no,no,,,,,
6,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),success,no,yes,"L32: After LPS induction, the XCL32a.2, CXCL8a, and CCL20a.3 were expressed in activated macrophages (L32).","L47: To obtain activated phenotype (M(LPS)), the remaining macrophages were stimulated with 5 ΓPg/mL LPS at the same time under the same conditions.",,LPS,yes->no: evidence does not name the gene
7,PMC9077289,"Myometrial‐derived CXCL12 promotes lipopolysaccharide induced preterm labour by regulating macrophage migration, polarization and function in mice",success,no,no,,,,,
8,PMC10341832,C-X-C Motif Chemokine 3 Promotes the Inflammatory Response of Microglia after Escherichia coli-Induced Meningitis,success,yes,yes,"Furthermore, meningitic E. coli infection promoted CXCL3 protein expression (Figure 1B).","(C,D) CXCL3 immunoblot results from whole cell extracts after infecting (C) hBMECs or (D) U251 cells after meningitic E. coli infection at an MOI of 10 for 1, 2, and 3 h.",Cxcl3;CXCL3,E. coli;infection;infecting,
9,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,yes,"Other genes characteristic of classical macrophage activation were also within LPS centric clusters: Nos2, Ccl5, and Ccr7 [79].","Other genes characteristic of classical macrophage activation were also within LPS centric clusters: Nos2, Ccl5, and Ccr7 [79].",,LPS,yes->no: evidence does not name the gene
10,PMC11018209,Effect of connexin 43 in LPS/IL-4-induced macrophage M1/M2 polarization: An observational study,success,no,no,,,,,
