title,authors,id,source,date,url,abstract
USP7-mediated stabilization of CXCL3 aggravates inflammation in models of acute lung injury,Haijun Lv; Weiwei Wu; Yun Sima; Zijing Guo; Jia Zhu; Yuping Shen; Ting Mao,Matched: CXCL3 depletion protected against LPS-induced human lung microvascular,cat /papers/PMC12557704/content.lines --lines 97-98,2025-09-23,https://doi.org/10.21037/jtd-2024-2026,"This study investigated CXCL3's role in acute lung injury (ALI) and its regulation by USP7. USP7 stabilizes CXCL3, which exacerbates inflammation and injury in ALI models."
Transcriptional profiling of the LPS induced NF-κB response in macrophages,"Omar Sharif, Viacheslav N Bolshakov, Stephanie Raines, Peter Newham, Neil D Perkins",Matched: Figures and Tables,cat /papers/PMC1781469/content.lines --lines 78-106,2007-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1781469/,"This study profiled gene expression in macrophages after LPS exposure. LPS induced a dynamic, time-dependent transcriptional response, with THP-1 cells closely mimicking primary macrophages."
HCX3 Mitigates LPS-Induced Inflammatory Responses in Macrophages by Suppressing the Activation of the NF-κB Signaling Pathway,Qianyi Wu; Jiyuan Shi; Luojin Wu; Lingxi Li; Yong Ling; Liming Mao; Jie Zhang,Matched: 3.2. The Effect of HCX3 on Cell Viability of Macrophages,cat /papers/PMC12562522/content.lines --lines 43,2025-10-01,https://doi.org/10.3390/cimb47100809,"HCX3, a novel canthin-6-one derivative, was studied for its effects on LPS-induced inflammation in macrophages. HCX3 suppressed pro-inflammatory mediator release and NF-κB pathway activation, suggesting therapeutic potential for acute lung injury."
Periodontitis salivary microbiota exacerbates colitis by CXCL3 derived from gut microbiota-induced macrophages,Jun Qian; Qing Tao; Yue Shen; Lei Wang; Min Wang; Nannan Wang; Qiao Liang; Jiangyue Lu; Yuezhen Huan...,Matched: Cxcl3+ macrophages partially exacerbate colitis by CXCL3-neutrophilic,cat /papers/PMC12715969/content.lines --lines 48-49,2025-12-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12715969/,"Periodontitis salivary microbiota exacerbates colitis by altering gut microbiota. This altered gut microbiota activates macrophages to secrete CXCL3, which worsens colitis through neutrophil recruitment and macrophage polarization."
Prevention of lipopolysaccharide-induced preterm labor by the lack of CX3CL1-CX3CR1 interaction in mice,Mika Mizoguchi; Yuko Ishida; Mizuho Nosaka; Akihiko Kimura; Yumi Kuninaka; Tamaki Yahata; Sakiko Nan...,Matched: CX3CL1 and CX3CR1 expression in murine gestational tissues after LPS i,cat /papers/PMC6219809/content.lines --lines 72-73,2018-11-06,https://doi.org/10.1371/journal.pone.0207085,This study investigated the role of the CX3CL1-CX3CR1 axis in a mouse model of preterm labor. The CX3CL1-CX3CR1 interaction promotes preterm labor by recruiting inflammatory macrophages.
Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),Yazhen Hu; Xiaolei Wei; Zhiwei Liao; Yu Gao; Xiaoling Liu; Jianguo Su; Gailing Yuan,Matched: 3. Discussion,cat /papers/PMC6274997/content.lines --lines 39-40,2018-11-12,https://doi.org/10.3390/ijms19113562,"This study analyzed the transcriptomes of resting and LPS-activated grass carp macrophages. Four novel cell surface markers and two chemokines were identified as potential macrophage markers, with others indicating activation."
"Myometrial‐derived CXCL12 promotes lipopolysaccharide induced preterm labour by regulating macrophage migration, polarization and function in mice",Lijuan Zhang; Ramanaiah Mamillapalli; Shutaro Habata; Molly McAdow; Hugh S. Taylor,Matched: CXCR4 expression in macrophages,cat /papers/PMC9077289/content.lines --lines 64,2022-03-23,https://doi.org/10.1111/jcmm.17252,"This study investigated the role of myometrial CXCL12 in lipopolysaccharide-induced preterm labor in mice. Myometrial CXCL12 promotes preterm labor by regulating macrophage migration and polarization, and blocking this pathway prevents preterm labor."
C-X-C Motif Chemokine 3 Promotes the Inflammatory Response of Microglia after Escherichia coli-Induced Meningitis,Xinyi Qu; Beibei Dou; Ruicheng Yang; Chen Tan; Huanchun Chen; Xiangru Wang,Matched: 4.5. Secretory CXCL3 Determination by Enzyme-Linked Immunosorbent Assa,cat /papers/PMC10341832/content.lines --lines 51,2023-06-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10341832/,This study investigated the role of CXCL3 in E. coli-induced meningitis. CXCL3 promotes microglial inflammation by activating signaling pathways and upregulating pro-inflammatory mediators.
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",PMC4378362,Journal of Leukocyte Biology,2014-08-01,https://doi.org/10.1189/jlb.6HI0313-169R,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
Effect of connexin 43 in LPS/IL-4-induced macrophage M1/M2 polarization: An observational study,Pengchen He; Mingxing Dai; Zongpin Li; Xiaoyi Wang; Hongyuan Liu; Yixiao He; Han Jiang,Matched: 3.2. M1-type polarization induces autophagy in macrophages and decreas,cat /papers/PMC11018209/content.lines --lines 36-37,2024-04-12,https://doi.org/10.1097/MD.0000000000037811,"This study investigated Connexin 43's role in LPS/IL-4-induced macrophage polarization. Cx43 promotes M1 polarization and inhibits M2 polarization, suggesting it's a key regulator."
Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,Jung-Hee Hong; Young-Cheol Lee,Matched: 4. Discussion,cat /papers/PMC9225349/content.lines --lines 97-98,2022-06-08,https://doi.org/10.3390/life12060857,Cicadidae periostracum (CP) and oleic acid (OA) extracts were studied for anti-inflammatory effects in LPS-induced lung inflammation. Both CP and OA significantly inhibited inflammatory chemokines and cytokines by suppressing key signaling pathways.
Macrophages generated in 3D mechanical microenvironment contribute to recruiting Peritonitis-associated neutrophils in vivo,YanRan Wang; XiaoHang Zou; YuQing Liu; GuoLin Shi; Xiang Li; Xiao Han; Pan Zhang; Hui Yang,Matched: 3D-macrophages recruit neutrophils by secreting the chemokine CXCL2 in,cat /papers/PMC12139310/content.lines --lines 48-49,2025-06-04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12139310/,3D collagen hydrogels were used to generate macrophages with specific mechanical properties. These 3D-macrophages recruit neutrophils to sites of inflammation by secreting CXCL2.
CXCL10/IP-10 Neutralization Can Ameliorate Lipopolysaccharide-Induced Acute Respiratory Distress Syndrome in Rats,Shan Lang; Libing Li; Xuning Wang; Junping Sun; Xinying Xue; Yongjiu Xiao; Mingyue Zhang; Ting Ao; J...,Matched: Upregulation of CXCL10 and its receptor CXCR3 in LPS-induced ARDS in l,cat /papers/PMC5207674/content.lines --lines 71-72,2017-01-03,https://doi.org/10.1371/journal.pone.0169100,This study investigated CXCL10's role in LPS-induced ARDS in rats. Neutralizing CXCL10 reduced ARDS severity by decreasing inflammation and immune cell infiltration.
CX3CL1 promotes M1 macrophage polarization and osteoclast differentiation via NSUN5-mediated m5C modification,Zhibin Deng; Wei Zhong,Matched: CX3CL1 is highly expressed in vitro,cat /papers/PMC12255738/content.lines --lines 64-65,2025-07-12,https://doi.org/10.1038/s41598-025-11046-2,CX3CL1 promotes M1 macrophage polarization and osteoclast differentiation. This process is regulated by NSUN5-mediated m5C modification of CX3CL1 mRNA.
CX3CL1 deficiency ameliorates acute kidney injury by inhibiting macrophage mitochondrial dysfunction and mtDNA-cGAS-STING signaling,Qiming Gong; Fahui Liu; Yuqing Huang; Dehui Li; Tingting Zhou; Chen Zeng; Yan Jiang; Huang Wei; Yong...,Matched: Inhibition of CX3CR1 promotes the anti-inflammatory phenotype and alle,cat /papers/PMC12847948/content.lines --lines 85-86,2025-12-13,https://doi.org/10.1038/s41420-025-02915-w,CX3CL1 deficiency was studied in a lipopolysaccharide-induced acute kidney injury model. CX3CL1 inhibition ameliorates kidney injury by improving macrophage mitochondrial function and suppressing mtDNA-cGAS-STING signaling.
Induction of CX3CL1 expression by LPS and its impact on invasion and migration in oral squamous cell carcinoma,Chanjuan He; Yuehan Wu; Xiaoxu Nan; Weifang Zhang; Yu Luo; Honglan Wang; Mengqi Li; Changyue Liu; Ji...,Matched: 3.2 Impact of lipopolysaccharide (LPS) on the expression of CX3CL1 and,cat /papers/PMC11195639/content.lines --lines 64-66,2024-06-10,https://doi.org/10.3389/fcell.2024.1371323,"LPS induces CX3CL1 expression in oral squamous cell carcinoma cells, which reduces proliferation, invasion, migration, and stemness. This induction also suppresses EMT and AKT phosphorylation."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: In vivo M1(=LPS+)C57BL/6J Exclusive Genes Drive Anti-bacterial Immune,cat /papers/PMC6543837/content.lines --lines 40-43,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
Baicalin exerts protective effects against lipopolysaccharide-induced acute lung injury by regulating the crosstalk between the CX3CL1-CX3CR1 axis and NF-κB pathway in CX3CL1-knockout mice,XIN-MIN DING; LEI PAN; YONG WANG; QIN-ZHI XU,Matched: Inflammatory responses in CX3CL1−/− mice with LPS-induced lung injury,cat /papers/PMC4771101/content.lines --lines 39,2016-01-12,https://doi.org/10.3892/ijmm.2016.2456,Baicalin protects against LPS-induced acute lung injury by regulating the CX3CL1-CX3CR1 axis and NF-κB pathway. This natural product inhibits the crosstalk between these pathways and reduces inflammation.
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
CXCL13 Is Involved in the Lipopolysaccharide-Induced Hyperpermeability of Umbilical Vein Endothelial Cells,Wen Chen; Yi Wang; Ting Zhou; Yuansheng Xu; Jianwei Zhan; Jinhong Wu,Matched: CXCL13-Neutralizing Antibody Increased the Survival Rate of Mice with,cat /papers/PMC7476967/content.lines --lines 65-66,2020-06-04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7476967/,"This study investigated CXCL13's role in lipopolysaccharide-induced hyperpermeability in endothelial cells. CXCL13 contributes to this hyperpermeability by regulating p38 signaling, suggesting it's a potential therapeutic target for sepsis."
TLR4/MyD88 -mediated CCL2 production by lipopolysaccharide (endotoxin): Implications for metabolic inflammation,Nadeem Akhter; Amal Hasan; Steve Shenouda; Ajit Wilson; Shihab Kochumon; Shamsha Ali; Jaakko Tuomile...,Matched: LPS upregulates CCL2 in monocytes/macrophages,cat /papers/PMC6154519/content.lines --lines 38-39,2018-04-16,https://doi.org/10.1007/s40200-018-0341-y,"This study investigated how lipopolysaccharide (LPS) increases CCL2 production in human monocytes and macrophages. LPS induces CCL2 via the TLR4/MyD88 pathway, activating NF-kB and AP-1 transcription factors."
LKB1‐MARK2 signalling mediates lipopolysaccharide‐induced production of cytokines in mouse macrophages,Jie Deng; Chunmei Wen; Xiangyu Ding; Xi Zhang; Guoqing Hou; Andong Liu; Hui Xu; Xuan Cao; Yongheng B...,Matched: Abstract,cat /papers/PMC7576310/content.lines --lines 1-9,2020-08-25,https://doi.org/10.1111/jcmm.15710,High-throughput phosphoproteomics identified novel mediators of LPS-induced signaling in mouse macrophages. LKB1-MARK2 signaling was found to regulate the production of key inflammatory cytokines.
Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,"Qi Zhang, Jie Wang, Jin Zhang, Jie Wen, Guiping Zhao, Qinghe Li",PMC8155903,Genes,2021-05-17,https://doi.org/10.3390/genes12050760,"Chicken macrophages were stimulated with LPS, and their mRNA and miRNA profiles were analyzed. This revealed differentially expressed genes and miRNAs involved in immune responses, offering insights into bacterial infection mechanisms."
