rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC7844264,Inhibition of the CXCL9-CXCR3 axis suppresses the progression of experimental apical periodontitis by blocking macrophage migration and activation,success,yes,yes,"Among these factors, CXCR3- and CCR3-related chemokines such as Cxcl9, Ccl5 and 8 became increased at day 7 and were found to be further elevated at days 14 and 28 (Fig. 2d).",The onset of AP is initiated by pathogenic bacteria and their components or foreign substances released from the infected root canal[2].,Cxcl9;CXCL9,bacteria;infected,
2,PMC12847007,Macrophage TRIM21 lactylation exacerbates infection-induced orchitis through enhancing STAT1-mediated CXCL9 and CXCL10 production,success,yes,yes,"As expected, the expression of Cxcl9 and Cxcl10 was substantially increased in the testis after UPEC or LPS treatment, while Ccl17 or Ccl22 exhibited no significant difference (Figures 1B, C).",,Cxcl9;CXCL9,LPS,
3,PMC4333760,CXCL9 Contributes to Antimicrobial Protection of the Gut during Citrobacter rodentium Infection Independent of Chemokine-Receptor Signaling,success,no,yes,"Unstimulated BMDC and BMDM did not produce detectable levels of secreted CXCL9. However, exposure to either IFNγ alone, or C. rodentium alone stimulated intermediate levels of CXCL9, which was significantly boosted in response to a combination of both stimuli (Fig. 5A).","Bone marrow-derived macrophages (BMDM), or dendritic cells (BMDC) were incubated for 24 h at 37°C with either 1 ng/mL IFNγ, and/or heat killed (hk) C. rodentium.",Cxcl9;CXCL9,,yes->no: evidence does not name LPS or infection
4,PMC12634548,Reciprocal activation between M1 macrophages and trophoblasts through CXCL9/STAT1/ZEB1/CCL2 axis promotes recurrent spontaneous abortion,success,yes,yes,"To further confirm the role of CXCL9 in vivo, we performed animal experiments using normal pregnant mice and LPS-induced abortion models with or without anti-CXCL9 neutralizing antibody treatment (Figure 8A).","The day when a vaginal plug became visible was defined as embryonic day 0.5 (E0.5). Lipopolysaccharide (LPS; 0.25 mg/kg, Sigma) was intraperitoneally injected on the afternoon of E7.5 to induce abortion, and the control group was injected with saline solution.",Cxcl9;CXCL9,LPS;Lipopolysaccharide,
5,PMC12068771,Vagus nerve modulates acute-on-chronic liver failure progression via CXCL9,success,yes,yes,"Human macrophages were treated with ACh or with genetic knockout of ̇alpha7 nAChR, and Mock-KO was used as control. Then these macrophages were co-incubated with LPS for two hours and the CXCL9 concentration in supernatant was assessed using immunofluorescence staining.","Human macrophages were treated with ACh or with genetic knockout of ̇alpha7 nAChR, and Mock-KO was used as control. Then these macrophages were co-incubated with LPS for two hours and the CXCL9 concentration in supernatant was assessed using immunofluorescence staining.",Cxcl9;CXCL9,LPS,
6,PMC10906808,Unraveling the role of M1 macrophage and CXCL9 in predicting immune checkpoint inhibitor efficacy through multicohort analysis and single‐cell RNA sequencing,success,no,no,,,,,
7,PMC12511401,Cxcl9high macrophages recruit circulating Cxcr3+ plasmablasts into kidneys to promote pathogenesis of lupus nephritis mice,success,no,no,,,,,
8,PMC12842884,Serum cytokines in periodontal diseases,success,no,yes,"L105\-L106: Elevated IL\-36\u03b3 levels in periodontitis patients correlate with increased expression of RANKL, toll\-like receptor 2, TNF\-\u03b1, IL\-1\u03b2, and IL\-17, suggesting its involvement in periodontal inflammation and bone resorption.
L105\-L106: Interleukin\-36\u03b3, a pro\-inflammatory cytokine of the IL\-1 superfamily, is implicated in periodontitis through its role in Th17 chemokine expression and its response to Porphyromonas gingivalis' lipopolysaccharide.","L78: Interleukin‐36Γ, a pro‐inflammatory cytokine of the IL‐1 superfamily, is implicated in periodontitis through its role in Th17 chemokine expression and its response to Porphyromonas gingivalis' lipopolysaccharide.",,Porphyromonas;lipopolysaccharide,yes->no: evidence does not name the gene
9,PMC2659747,ESAT6-Induced IFNγ and CXCL9 Can Differentiate Severity of Tuberculosis,success,yes,yes,"However, LPS-induced CXCL9 was significantly greater (p = 0.008), while CCL2 was reduced (p<0.01) in TB patients as compared with ECs.","To investigate whether the differences in cytokine secretion observed were specific to mycobacterial antigens, we also studied cytokine and chemokine responses to bacterial lipopolysaccharide (LPS), a strong activator of macrophages.",Cxcl9;CXCL9,LPS;mycobacterial;bacterial;lipopolysaccharide,
10,PMC9181286,The Therapeutic Treatment with the GAG-Binding Chemokine Fragment CXCL9(74–103) Attenuates Neutrophilic Inflammation and Lung Dysfunction during Klebsiella pneumoniae Infection in Mice,success,no,no,,,,,
11,PMC6797974,Delay in hepatocyte proliferation and prostaglandin D2 synthase expression for cholestasis due to endotoxin during partial hepatectomy in rats,success,yes,yes,"L35: Cxcl9 showed a significant rise after 24 h in the LPS and LPS + PH groups compared with the control and PH groups, respectively (Fig. 2B).","L7: Male Sprague-Dawley rats were subjected to 70% PH and/or LPS injection, and tissues were harvested at 0, 24, 72 and 168 h.",Cxcl9;CXCL9,LPS,
12,PMC9077289,"Myometrial‐derived CXCL12 promotes lipopolysaccharide induced preterm labour by regulating macrophage migration, polarization and function in mice",success,no,no,,,,,
13,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),success,no,no,,,,,
14,PMC13183869,Glucocorticoids induce a phagocytic C1Q+ macrophage phenotype primed for IFNγ-dependent CXCL9 secretion,success,no,no,,,,,
15,PMC10387083,CXCL9 inhibition does not ameliorate disease in murine models of both primary and secondary hemophagocytic lymphohistiocytosis,success,no,no,,,,,
16,PMC11022742,Pharmacological Polarization of Tumor‐Associated Macrophages Toward a CXCL9 Antitumor Phenotype,success,yes,yes,"Note the high CXCL9 expression with CANDI400, even higher than with IFNg and LPS stimulation of cells.",CRX527 (an LPS mimetic),Cxcl9;CXCL9,LPS,
17,PMC6559950,LIF regulates CXCL9 in tumor-associated macrophages and prevents CD8+ T cell tumor-infiltration impairing anti-PD1 therapy,success,yes,yes,A similar result was observed when BMDMs were treated with LPS (Supplementary Fig. 7a).,CXCL9 expression was not detected except when BMDMs were treated with IFNγ.,Cxcl9;CXCL9,LPS,
18,PMC5207674,CXCL10/IP-10 Neutralization Can Ameliorate Lipopolysaccharide-Induced Acute Respiratory Distress Syndrome in Rats,success,yes,yes,"LPS-induced ARDS in rats led to significant increase in the expression of CXCL9, CXCL10, and CXCL11 in serum and BALF compared with saline control rats (p<0.05) and they further increased with longer exposure to LPS.",L68,Cxcl9;CXCL9,LPS,
19,PMC12776223,The influence of CXCL9 on M2 macrophages in lung cancer development,success,no,no,,,,,
20,PMC8657559,C-X-C Motif Chemokine Ligand 9 and Its CXCR3 Receptor Are the Salt and Pepper for T Cells Trafficking in a Mouse Model of Gaucher Disease,success,no,no,,,,,
21,PMC12668484,Infiltration of CXCL9+ macrophages confers a favorable prognosis in breast cancer: Insights from an integrated single-cell RNA and bulk RNA sequencing study,success,no,no,,,,,
22,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,yes,yes,"The top two regulated pathways common for all three signatures are the Granulocyte Adhesion and Diapedesis and the Agranulocyte Adhesion and Diapedesis pathways that are driven by several chemokines and adhesion molecules including Ccl2, Cxcl9, Ccl7, Ccl24, Ccl22, Ccl9, Cxcl16, Ccl17, Icam1, and Vcam1 (Supplementary Table 3).",The signatures of in vivo bacterial LPS positive responders [M1(=LPS+)] vs. negative responders [M2(=LPS–)] peritoneal macrophages as established in Buscher et al. (22) (GSE38705) were used (Supplementary Table 3).,Cxcl9;CXCL9,bacterial;LPS,
23,PMC7919587,CXCL9-expressing tumor-associated macrophages: new players in the fight against cancer,success,no,no,,,,,
24,PMC12198043,Congestion Enriches Intra-hepatic Macrophages Through Reverse Zonation of CXCL9 in Liver Sinusoidal Endothelial Cells,success,no,no,,,,,
25,PMC5119981,CXCL9: evidence and contradictions for its role in tumor progression,success,no,no,,,,,
