rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,bio_c92a84737104,Golgi-localised Guanylate-binding protein 5 enhances glycolysis in macrophages,success,no,no,,,,,
2,PMC13200375,M1 macrophage-derived migrasomes exacerbate post-myocardial infarction injury via guanylate binding protein 5,success,yes,yes,Western blot analysis of the isolated M0-Migs and M1-Migs demonstrated that M1-Migs expressed higher levels of GBP5 than did M0-Migs at the same total protein amount (Fig. 3D).,"When macrophage confluency reached 60%−70%, cells were stimulated with 100 ng/ml lipopolysaccharide (LPS, L2880, Sigma) and 20 ng/ml interferon-γ (IFN-γ, 315-05-20, Peprotech) to promote polarization of M0 macrophages to M1 macrophages;",Gbp5;GBP5,lipopolysaccharide;LPS,
3,PMC7327485,Direct binding of polymeric GBP1 to LPS disrupts bacterial cell envelope functions,success,no,no,,,,,
4,PMC5133363,Guanylate-binding protein 5 is a marker of interferon-γ-induced classically activated macrophages,success,yes,yes,"The expression of GBP5 in M1 and M1(−) was higher compared with that of the other subtypes (Figure 7), thereby replicating the results of the microarray data.","To induce the macrophage subtypes (M1, M1(−), M2a, M2b and M2c), the macrophages were further stimulated for 24 h with LPS (10 ng ml−1)+IFN-γ (50 ng ml−1), IFN-γ (50 ng ml−1), IL-4 (10 ng ml−1), IL-1β (10 ng ml−1) and IL-10 (10 ng ml−1).",Gbp5;GBP5,LPS,
5,bio_ea6f8a3b6c58,A hierarchical GBP network promotes cytosolic LPS recognition and sepsis,success,yes,yes,Chromosomal ablation of these 7 Gbp loci led to selective loss of Gbp mRNA and protein expression using monospecific antibodies where available in LPS-primed bone marrow-derived macrophages (BMDMs).,"LPS-primed BMDMs challenged with iLPS as a caspase-11-specific ligand (5, 6) revealed pronounced defects in IL-1β release and pyroptosis in cells from Gbp2 - / - and Gbp3 - / - but not Gbp1 - / - , Gbp5 - / - , Gbp7 - / - and Gbp6 - / - Gbp10 - / - mice versus C57BL/6NJ wild-type (WT) controls ( Fig. 1C ).",Gbp5;GBP5,LPS,
6,bio_56e9957f6d01,Pattern Recognition Receptor for Bacterial Lipopolysaccharide in the Cytosol of Human Macrophages,success,no,no,,,,,
7,PMC10684074,Inhibitory effects of polysaccharides from Korean ginseng berries on LPS-induced RAW264.7 macrophages,success,no,no,,,,,
8,PMC6113620,NADPH Oxidase and Guanylate Binding Protein 5 Restrict Survival of Avirulent Type III Strains of Toxoplasma gondii in Naive Macrophages,success,yes,yes,"L41: BMDMs infected with either CTG or GT1 showed significant increase in expression of Gbp2, Gbp5, and Gbp7 mRNA at 20 h postinfection compared to uninfected cells","L41: In particular, Gbp5 mRNA increased up to ~40-fold upon T. gondii infection, whereas Gbp2 and Gbp7 mRNA showed an ~10-fold increase (Fig. 6A).",Gbp5;GBP5,infected;infection,
9,PMC6326519,Guanylate-binding protein 5 licenses caspase-11 for Gasdermin-D mediated host resistance to Brucella abortus infection,success,yes,yes,"We observed that GBP2, GBP3, GBP5 and to less extent GBP7 had increased mRNA transcripts in macrophages transfected with bacterial LPS compared to cells transfected with FuGENEHD alone (S2 Fig).","BMDMs from C57BL/6 mice were transfected with LPS (5 ΓΔg/ml) from B. abortus using FugeneHD. After 17h of infection, RNA was extracted, purified, and qPCR was performed to measure GBP1, GBP2, GBP3, GBP5 and GBP7 expression levels. * p<0.05 when compared to Fugene HD alone.",Gbp5;GBP5,bacterial;LPS;infection,
10,bio_b19262096ce3,GBP2 aggregates LPS and activates the caspase-4 inflammasome independent of the bacterial encapsulation factor GBP1,success,no,no,,,,,
