rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
2,PMC10384579,Early-Life Exposure to Lipopolysaccharide Induces Persistent Changes in Gene Expression Profiles in the Liver and Spleen of Female FVB/N Mice,success,yes,yes,L91: Ccl17 | Chemokine (C-C motif) ligand 17 | 1.78 | 0.0009,L38: The results also showed that LPS in the spleen significantly altered the expression of 22 genes (p < 0.05).,Ccl17;CCL17,LPS,
3,PMC2193819,Compartmentalized Production of CCL17 In Vivo,success,yes,yes,L63: CCL17+ DCs were threefold more frequent among DCs of mLNs compared with those of saline injected mice (Fig. 8 A).,"L28: Mice were injected intraperitoneally or intravenously with a sublethal dose of 300 μg LPS (Sigma-Aldrich), or 20 nmol CpG-oligodeoxynucleotide (ODN) 1668 (Tib Molbiol) and Listeria monocytogenes (50,000 listeria/mouse), and organs or organ-derived DCs were analyzed 15 h (LPS and CpG-ODN) or 4 d (listeria) later.",Ccl17;CCL17,LPS;Listeria,
4,PMC4709882,Sepsis induces incomplete M2 phenotype polarization in peritoneal exudate cells in mice,success,yes,yes,"In a separate experiment with 6-h LPS treatment of PE cells from mice at 20 h post-surgery, LPS treatment also caused a marked increase in both CCL17 and CCL22 in sham-PE, but not in CLP-PE cells (Fig. 3b, c).",PE cells harvested from mice at 20 h after sham or CLP operation were cultured in the presence or absence of LPS (1 μg/ml) for 6 h (n = 4 or 5 for each group).,Ccl17;CCL17,LPS;CLP,
5,PMC9225349,Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,success,yes,yes,"L38: The mRNA expression levels of chemokines CCL20, CXCL5, CXCL1, CCL2, CXCL10, CXCL11, CCL7, IL-6, CXCL3, CCL17 CXCL2, CCL8, CCRL2, TLR2, PPBP (CXCL7), CCL4, CCL5, and CCL9 were significantly increased in the LPS-stimulated group compared with the normal group.",L37: 3.1.1. The Gene Expression Profiles of Chemokines and Their Receptors in LPS Stimulated Lung Epithelial Cells Using Mouse Chemokines and Receptors RT2 Profiler PCR Arrays,Ccl17;CCL17,LPS,
6,PMC2196157,C–C Chemokines Released by Lipopolysaccharide (LPS)-stimulated Human Macrophages Suppress HIV-1 Infection in Both Macrophages and T Cells,success,no,no,,,,,
7,PMC12634754,SENP3 mediated DeSUMOylation of macrophage derived CCL17 accelerates atherosclerosis via regulation of Treg,success,no,no,,,,,
8,PMC1698493,Interleukin-4 induction of the CC chemokine TARC (CCL17) in murine macrophages is mediated by multiple STAT6 sites in the TARC gene promoter,success,no,no,,,,,
9,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
10,PMC6154519,TLR4/MyD88 -mediated CCL2 production by lipopolysaccharide (endotoxin): Implications for metabolic inflammation,success,no,no,,,,,
11,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
12,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),success,no,no,,,,,
13,PMC12020124,Serum C-C motif chemokine ligand 17 as a predictive biomarker for the progression of non-idiopathic pulmonary fibrosis interstitial lung disease,success,no,no,,,,,
14,PMC5622065,"IL-17A induces heterogeneous macrophages, and it does not alter the effects of lipopolysaccharides on macrophage activation in the skin of mice",success,no,no,,,,,
15,PMC10179235,Role of Fibroblasts in Chronic Inflammatory Signalling in Chronic Rhinosinusitis with Nasal Polyps—A Systematic Review,success,yes,yes,A combined stimulation with LPS and IL-4 induced CCL17 in NPDF (L96),Fukumoto (2008) | To assess if NPDF produced TARC | No comment | No comment | Uncinate process mucosa and lung | IL-4; LPS | RT-PCR | ELISA | CCL17 (TARC) | A combined stimulation with LPS and IL-4 induced CCL17 in NPDF (L96),Ccl17;TARC;CCL17,LPS,
16,PMC11271943,Imbalance polarization of M1/M2 macrophages in miscarried uterus,success,no,no,,,,,
17,PMC12287273,Screening of the FDA-approved drug library identifies CCL17 inhibitors that block arthritic pain,success,no,no,,,,,
18,bio_20c64eb77894,CHEMOKINE SIGNALING IN BREAST CANCER: FOCUS ON CC-MOTIF CHEMOKINE LIGANDS,success,no,no,,,,,
19,PMC8990115,Is CC Chemokine Ligand 17 (TARC) Driving Disease Progression in Chronic Obstructive Pulmonary Disease?,success,no,no,,,,,
20,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,no,,,,,
21,PMC12757465,Impact of low and high lipopolysaccharide doses on the early expression of immune related genes and transcription factors in chicken macrophage-like HD11 cells,success,no,no,,,,,
22,bio_5c77e2ab6bff,Enhancing Cardiac Reprogramming by Suppressing Specific C-C Chemokine Signaling Pathways,success,no,no,,,,,
23,PMC8406035,Redox-sensitive activation of CCL7 by BRG1 in hepatocytes during liver injury,success,no,no,,,,,
24,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,no,,,,,
25,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,no,,,,,
