rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC12945651,PP4 modulates macrophage-neutrophil crosstalk to restrict CCL5 -driven NETosis in sepsis,success,yes,yes,"An ELISA indicated that PP4myel−KO BMDMs exhibited a significantly higher secretion of CCL5 than did WT BMDMs (L88), suggesting that CCL5 may be secreted by macrophages during sepsis, and are regulated by PP4.","Primary BMDMs (1 × 106 cells) were seeded in 10-cm dishes containing 10 mL of DMEM supplemented with 10% FBS, 1% penicillin/streptomycin, and 10 ng/mL macrophage colony-stimulating factor (M-CSF).",Ccl5;CCL5,sepsis,
2,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
3,PMC6000219,The effect of down-regulation of CCL5 on lipopolysaccharide-induced WI-38 fibroblast injury: a potential role for infantile pneumonia,success,yes,yes,Overexpression of CCL5 was found in LPS-treated cells.,"The mRNA expression levels of CCL5 in WI-38 cells treated with 10 ΓΕΓΑ/ml and 20 ΓΕΓΑ/ml LPS were both significantly higher than un-treated group (P<0.01, Figure 2A).",Ccl5;CCL5,LPS,
4,PMC7883330,CCR5 signaling promotes lipopolysaccharide-induced macrophage recruitment and alveolar developmental arrest,success,yes,yes,"Moreover, levels of CCL3, CCL4, and CCL5 were also elevated in the LPS-injected group at P1 and P3 (Fig. 3b).","B CCL3, CCL4, and CCL5 levels in rat lung tissues. Data are expressed as mean ± SD (n = 8), *p < 0.05.",Ccl5;CCL5,LPS,
5,PMC9880418,Metabolic effects of CCL5 deficiency in lean and obese mice,success,no,no,,,,,
6,PMC2196157,C–C Chemokines Released by Lipopolysaccharide (LPS)-stimulated Human Macrophages Suppress HIV-1 Infection in Both Macrophages and T Cells,success,no,yes,"Table 3 shows that addition of LPS resulted in vigorous production of these C–C chemokines by MDM, both uninfected and infected in vitro with HIV.",Uninfected or HIV-1Ba-L-infected MDM were cultured in the presence or absence of LPS (1 μg/ml). LPS was added to the cultures every 3 d. Supernatants were harvested after 2 and 5 d of culture. The concentrations of C–C chemokines in the supernatants were measured by ELISA.,,LPS;infected,yes->no: evidence does not name the gene
7,PMC9225349,Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,success,yes,yes,L185: Ccl5 | Chemokine (C-C motif) ligand 5 | 5.78 | 0.000001,L37: Mouse Chemokines and Receptors RT2 Profiler PCR arrays were used to explore the global gene expression patterns in LPS-stimulated LA4 cells.,Ccl5;CCL5,LPS,
8,bio_e87507fc7271,"Role Of The C-C Motif Chemokine Ligand 5 (CCL5) And Its Receptor, C-C Motif Chemokine Receptor 5 (CCR5) In The Genesis Of Aldosterone-induced Hypertension, Vascular Dysfunction, And End-organ Damage",success,no,no,,,,,
9,PMC2196159,Bacterial Lipopolysaccharide Rapidly Inhibits Expression of C–C Chemokine Receptors in Human Monocytes,success,no,yes,"Likewise, but to a lesser extent, a significant LPS-dependent reduction of the CCR1 (Fig. 1 B) and CCR5 (C) mRNA levels was observed.",Total RNA was purified from fresh human monocytes incubated for 4 h as indicated.,,LPS,yes->no: evidence does not name the gene
10,PMC8219307,Blocking the CCL5–CCR5 Axis Using Maraviroc Promotes M1 Polarization of Macrophages Cocultured with Irradiated Hepatoma Cells,success,no,no,,,,,
