rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC7867451,Gadolinium Chloride Inhibits the Production of Liver Interleukin-27 and Mitigates Liver Injury in the CLP Mouse Model,success,yes,yes,"We found that, compared to the sham group, the serum level of IL-27 was increased after CLP (p < 0.001; Figure 1(a)), and the liver EBI3 and P28 mRNA (by q-PCR) and protein expression levels (by Western blot) were also upregulated after CLP (p < 0.001; Figures 1(b) and 1(c)).",A cecal ligation puncture (CLP) model was established in wild-type (WT) and IL-27 receptor- (WSX-1-) deficient (IL-27r−/−) mice...,IL-27,CLP;cecal ligation,
2,PMC11882325,Interleukins-27 Aggravates Liver Injury by Impairing the Antimicrobial Response of Macrophages via the Promotion of Mitochondrial Dysfunction in the Context of Sepsis,success,no,no,,,,,
3,bio_5e67bb726e21,IL-27 neutralization enhances macrophage polarization and improves immune checkpoint efficacy,success,yes,yes,"By contrast, LPS stimulation induced a detectable IL-27p28 (Supplementary Figure 1C).","(C) Quantification of IL-27p28 secretion in culture supernatants from monocytes and macrophages, with or without LPS stimulation, by ELISA.",IL-27p28,LPS,
4,PMC4188125,Macrophage Cytokines: Involvement in Immunity and Infectious Diseases,success,yes,yes,"L34: IL-27 is a member of the IL-12 family, and is composed of subunits p28 and Epstein–Barr virus-induced gene 3.","L35: Similar to TNF, it is produced early in monocytes and macrophages stimulated with LPS and IFN-̳.",IL-27,LPS,
5,PMC7421895,IL-27 regulation of innate immunity and control of microbial growth,success,yes,yes,"In these same patients, increased IL-27 levels are also associated with poor clinical outcomes [47]. In a study by Rinchai and colleagues, whole blood samples analyzed from Burkholderia pseudomallei-induced septic patients showed that increased IL-27 levels were primarily sourced from monocytes, macrophages and neutrophils [47].","In these same patients, increased IL-27 levels are also associated with poor clinical outcomes [47].",IL-27,septic,
6,PMC12967598,IL-27 Aggravates Sepsis-Induced ARDS by Driving Macrophage Ferroptosis Through Activation of NCOA4-Mediated Ferritinophagy,success,no,no,,,,,
7,PMC12053911,STAT-3 is necessary for IL-27-mediated macrophage suppression but does not represent a therapeutic target for E. coli-induced neonatal sepsis,success,no,yes,We have determined that the cytokine interleukin (IL)-27 is expressed at elevated levels in the first days of life and continues to rise during experimental bacterial neonatal sepsis.,Neonatal STAT-3fl/fl and LysMcreSTAT-3fl/fl pups at the ages of 4 days were infected subcutaneously in the scapular region with E. coli strain O1:K1:H7 using a 28-gauge insulin needle as described previously (14).,,bacterial;sepsis;infected;E. coli,yes->no: evidence does not name the gene
8,PMC6135775,IL-27 amplifies cytokine responses to Gram-negative bacterial products and Salmonella typhimurium infection,success,no,no,,,,,
9,PMC8863767,Synergistic Effects of Toll-Like Receptor 1/2 and Toll-Like Receptor 3 Signaling Triggering Interleukin 27 Gene Expression in Chikungunya Virus-Infected Macrophages,success,yes,yes,"As expected, we found that LPS-stimulated MDMs trigger strong expression of EBI3 and IL27p28 with a high level of mRNA expression at 6 h of stimulation (Figures 3E, 9B, respectively).","We reanalyzed a publicly available RNA-seq dataset [GSE84188 (GEO) (Olejnik et al., 2017)], obtained from human MDMs stimulated with 100 ng/ml of LPS, for 6, 24 or 48 h.",IL27p28,LPS,
10,PMC3488816,IL-23 and IL-27 Levels in Macrophages Collected from Peripheral Blood of Patients with Healing Vs Non-Healing Form of Cutaneous Leishmaniasis,success,yes,yes,The concentration of IL-27 in healing and non-healing form of CL before stimulation was 36.6\u00b14.5 pg/ml and 25.4\u00b14.2 pg/ml respectively which was significantly different (P < 0.001). The level of IL-27 after stimulation in supernatants of macrophages in healing and non-healing form of CL was 73.3 \u00b16.8 pg/ml vs. 46.2\u00b19.2 pg/ml which was significantly different (P < 0.001).,After 6 days monocyte derived macrophages were infected with L. major promastigotes harvested at stationary phase at a ratio of 5:1 parasite/macrophage.,IL-27,infected,
11,PMC8165262,Interleukin-27 and Its Diverse Effects on Bacterial Infections,success,yes,yes,L100: High-risk AA genotype resulted in increased IL-27 levels in isolated PBMCs after LPS stimulation in vitro.,L100: He J Zhang Q Zhang W Chen F Zhao T Lin Y . The Interleukin-27 -964A>G Polymorphism Enhances Sepsis-Induced Inflammatory Responses and Confers Susceptibility to the Development of Sepsis . Crit Care ( 2018 ) 22 ( 1 ): 248 .,IL-27,LPS;Sepsis,
12,PMC6164187,The interleukin-27 -964A>G polymorphism enhances sepsis-induced inflammatory responses and confers susceptibility to the development of sepsis,success,yes,yes,"L152: As shown in Fig. 4, the IL-27 mRNA expression and protein production were significantly greater in PBMCs carrying the rs153109 AA genotype compared to those with the GA/GG genotypes upon LPS stimulation (P = 0.001 and P = 0.012, respectively), but these differences were not observed without LPS induction (P > 0.05).","L153: Fig. 4: The IL-27 expressions in the peripheral blood mononuclear cells (PBMCs) isolated from 55 healthy volunteers. The IL-27 mRNA expression of PBMCs from 55 healthy individuals under lipopolysaccharide (LPS) stimulation (500 ng/mL) in groups with different rs153109 genotypes (a, b); the supernatant concentration of IL-27 under LPS stimulation in groups with different rs153109 genotypes (c, d).",IL-27,LPS;lipopolysaccharide,
13,PMC10985211,An updated advancement of bifunctional IL-27 in inflammatory autoimmune diseases,success,yes,yes,"IL-27p28 and Ebi3 was increased in moDCs isolated from CDI patients after C. difficile stimulation, and WT mice infected with C. difficile showed an increase in serum and cecal IL-27 (141).","For IL-27 genetic mutation, rs153109 of IL-27 was related to UC in Northern Chinese Han individuals, and the patients carrying the A allele of rs153109 showed reduced expression of IL-27 in PBMCs (166).",IL-27;IL-27p28,infected,
14,PMC7035946,Elevated Levels of Interleukin-27 in Early Life Compromise Protective Immunity in a Mouse Model of Gram-Negative Neonatal Sepsis,success,yes,yes,"While some infected pups expressed increased levels of IL-27p28 and EBI3 transcripts in all tissues examined, in several tissues, there were some pups that did not increase IL-27 gene expression (Fig. 1A and B).",Neonatal mice were subcutaneously inoculated with a target inoculum of ∰ 2  106 CFU/mouse of E. coli O1:K1:H7 or PBS as a control on day 3 or 4 of life.,IL-27;IL-27p28,infected;E. coli,
15,PMC5703457,Interleukin 27 is increased in carotid atherosclerosis and promotes NLRP3 inflammasome activation,success,no,no,,,,,
