rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC6154519,TLR4/MyD88 -mediated CCL2 production by lipopolysaccharide (endotoxin): Implications for metabolic inflammation,success,no,yes,"L38: Here, our data show that LPS significantly stimulates CCL2 gene expression at both mRNA (23.40  0.071 Fold; P < 0.0001; (Fig. 1a) and protein (1048  5.67 pg/ml; P < 0.0001; (Fig. 1b)) levels in human monocytic cells.",,,LPS,yes->no: evidence does not name the gene
2,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,yes,yes,L180: CXCL2 | 3.938 | 2.787 | 243 (± 85) | 68 (± 13),"L24: Using this information, RNA was extracted from two separate batches of THP-1 cells, to create two biological replicates, either stimulated with LPS for 1 or 4 hours or left untreated.",Cxcl2;CXCL2,LPS,
3,PMC9077289,"Myometrial‐derived CXCL12 promotes lipopolysaccharide induced preterm labour by regulating macrophage migration, polarization and function in mice",success,no,yes,LPS induced CXCL12 RNA and protein levels significantly and specifically in myometrium compared with controls (3‐fold and 3.5‐fold respectively).,"At GD 15.5, LPS (Escherichia coli 0111:B4; Sigma; 25 ΓΘg in 200 ΓΘl of phosphate buffered saline [PBS]) or PBS 200 ΓΘl or LPS 25 ΓΘg  AMD3100 (Sigma; 5 mg/kg in 200 ΓΘl of PBS) was administered intraperitoneally to pregnant mice on GD 15.5.",,LPS;Escherichia,yes->no: evidence does not name the gene
4,PMC5818454,"Transcriptional and translational‐uncoupling in regulation of the CXCL12 and its receptors CXCR4, 7 in THP‐1 monocytes and macrophages",success,no,yes,"LPS treatment of u‐THP‐1 or d‐THP‐1 significantly elevated CXCL12, IL‐1β, and IL‐6 mRNA levels (Fig. 1Sa‐c, Supplements).","For u‐THP‐1 and d‐THP‐1 comparison studies, LPS treatment was for four hours at 10 ng/mL then the cells were collected for RNA isolation and gene expression determination.",,LPS,yes->no: evidence does not name the gene
5,PMC11049839,Anti-Neuroinflammatory Effects of a Macrocyclic Peptide-Peptoid Hybrid in Lipopolysaccharide-Stimulated BV2 Microglial Cells,success,yes,yes,LPS stimulation reliably increased the CXCL2 expression and release in BV2 microglial cells (Figure 6).,"L92: Figure 6: Effects of X15856 on the gene expression (A) and protein synthesis (B) of CXCL2 in LPS-stimulated BV2 cells. Cells were stimulated as described in the Section 4. (A) After 4 h of stimulation, RNA was isolated and the gene expression of CXCL2 was measured using qPCR. (B) After 24 h of stimulation, supernatants were collected and the release of CXCL2 was measured with ELISA. Values are presented as the mean ± SD of at least three independent experiments. Statistical analysis was performed using one-way ANOVA with Dunnett’s post hoc tests with **** p < 0.0001 compared to LPS.",Cxcl2;CXCL2,LPS,
6,PMC12139310,Macrophages generated in 3D mechanical microenvironment contribute to recruiting Peritonitis-associated neutrophils in vivo,success,yes,yes,"The results demonstrated that CXCL2 protein could be produced by CD14+ cells after 30 min of LPS stimulation, and the expression level increased with the duration of stimulation.","3 5 × 10 4 3D-macrophages were inoculated in 24-well plates, and 3D-macrophages were stimulated at different times using 1 µg LPS (sigma) in a 37℃, 5% CO 2 incubator.",Cxcl2;CXCL2,LPS,
7,PMC8052121,LXA4 Inhibits Lipopolysaccharide-Induced Inflammatory Cell Accumulation by Resident Macrophages in Mice,success,yes,yes,"The LPS-mediated up-regulation of CXCL2 mRNA in lung tissues (Figure 4B) and resident macrophage (Figure 4C), CXCL2 protein levels in the BALF (Figure 4D), respectively, was reduced following LXA4 treatment (p<0.05).",Mice received 1 mg/kg LPS by intratracheal atomization then LXA4 (0.1 µg/mouse) by intraperitoneal injection.,Cxcl2;CXCL2,LPS,
8,PMC12151196,Proinflammatory macrophages release CXCL5 to regulate T cell function and limit effects of αPD-1 in steatosis-driven liver cancer,success,no,no,,,,,
9,PMC9225349,Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,success,yes,yes,"The mRNA expression levels of chemokines CCL20, CXCL5, CXCL1, CCL2, CXCL10, CXCL11, CCL7, IL-6, CXCL3, CCL17 CXCL2, CCL8, CCRL2, TLR2, PPBP (CXCL7), CCL4, CCL5, and CCL9 were significantly increased in the LPS-stimulated group compared with the normal group.",Mouse Chemokines and Receptors RT2 Profiler PCR arrays were used to explore the global gene expression patterns in LPS-stimulated LA4 cells.,Cxcl2;CXCL2,LPS,
10,PMC5423041,Macrophage inflammatory protein-2 as mediator of inflammation in acute liver injury,success,yes,yes,"L33: The hepatic expression of chemokine mRNAs was elevated after LPS exposure, with the maximal expression of MIP-2 mRNA at 1 h after LPS treatment[66,68].","L33: Some studies have shown that MIP-2 is one of the key mediators in LPS-induced liver injury[65,66].",MIP-2,LPS,
11,PMC13243519,Temporal expression of CXCR2 ligands in a rat model of LPS—induced pulpitis,success,no,no,,,,,
12,bio_2ffac20f6bff,Leishmania major  degrades murine CXCL1 – an immune evasion strategy,success,no,no,,,,,
13,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,yes,yes,"Regardless of the time-phase, most cytokines were dose-responsive, with the exception of Cxcl16 (which was not dose-responsive) and Cxcl2/3 (whose expression was maximal at the 5-ng/ml dose; Fig. 3), suggesting that the potential to recruit other immune cells increases at higher LPS dose challenges.","C57BL/6 macrophages were treated with of 0.5, 5, or 50 ng/ml LPS, and BALB/c-derived macrophages were treated with 5 ng/ml LPS, 10 U/ml mouse rIFN-β, or 10 U/ml IFN-γ.",Cxcl2;CXCL2,LPS,
14,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),success,no,no,,,,,
15,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
16,PMC3888770,IL-21 Modulates Release of Proinflammatory Cytokines in LPS-Stimulated Macrophages through Distinct Signaling Pathways,success,no,no,,,,,
17,PMC13111272,CXCL2 affects macrophage antitumor function and immunotherapy efficacy in esophageal squamous cell carcinoma through calcium signaling,success,no,no,,,,,
18,PMC10871588,Single-cell immune profiling of mouse liver aging reveals Cxcl2+ macrophages recruit neutrophils to aggravate liver injury,success,no,no,,,,,
19,PMC4170906,Nucleotides Regulate Secretion of the Inflammatory Chemokine CCL2 from Human Macrophages and Monocytes,success,no,yes,"As expected, LPS induced other chemokines CCL20 (459-fold above media control) and CXCL8 (1121-fold above media control) in THP-1 cells, whereas UTP treatment induced a 4.1-fold upregulation of CCL20 and a 2.3-fold upregulation of CCL3 with respect to unstimulated cells.","L63: Figure 4: UTP induces CCL2 gene transcription in THP-1 monocytes. THP-1 cells were plated in RPMI media containing 1% serum and stimulated with media alone, LPS (1 ΓΕΓΔg/mL), UTP (10 ΓΕΓΔM), or UDP (10 ΓΕΓΔM) for 2 hours. RNA was extracted, reverse transcribed to cDNA, and probed with quantitative PCR primers for chemokines (CCL2, CCL20, CCL3, and CXCL8) and reference genes (ΓΕΓΔ-actin and GAPDH). PCR was performed in triplicate using a Rotorgene 2000. Data was analysed using the 2ΓΕΓΔ−ΓΕΓΔΓΕΓΔCt method using a threshold of 0.003.",,LPS,yes->no: evidence does not name the gene
20,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
21,PMC3409161,Identification of 34 Novel Proinflammatory Proteins in a Genome-Wide Macrophage Functional Screen,success,yes,yes,Raw 264.7 cells transfected with empty vector or a proinflammatory mediator were stimulated by increasing doses of LPS for 6 hrs and the activity of the cxcl2 promoter was measured (Figure 2D–F).,The impact of over-expressed proinflammatory mediators on LPS induced cxcl2 expression was tested.,Cxcl2;CXCL2,LPS,
22,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
23,PMC7576310,LKB1‐MARK2 signalling mediates lipopolysaccharide‐induced production of cytokines in mouse macrophages,success,no,no,,,,,
24,PMC8155903,Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,success,no,no,,,,,
25,PMC11018209,Effect of connexin 43 in LPS/IL-4-induced macrophage M1/M2 polarization: An observational study,success,no,no,,,,,
