gene,baseMean,log2FoldChange,pvalue,padj
GeneA,175.84632896109838,3.2889984806801174,3.32468355130065e-83,3.32468355130065e-82
GeneB,149.18047963728762,-2.485374181677861,8.545038947108528e-79,4.272519473554264e-78
GeneE,64.22432507654709,2.5605384706368617,3.249635557394595e-18,1.0832118524648651e-17
GeneJ,45.583775144018205,2.285513894794553,5.854928724907204e-16,1.463732181226801e-15
GeneF,207.8070479170103,-0.059097760541905076,0.049656318854216966,0.09931263770843393
GeneH,304.2165162529291,-0.08577111226828106,0.24634137271579415,0.4105689545263236
GeneC,91.30282401322425,1.4735825369683113,0.4776322281544141,0.6823317545063059
GeneI,40.184524826143075,1.5056667216366144,0.760126823424881,0.9501585292811012
GeneD,134.69010362057352,-0.07691568014542596,0.9116392095541093,0.9635398414412244
GeneG,12.371832957793771,0.14426950408889636,0.9635398414412244,0.9635398414412244
